"lab","consensus_id","mixture","polarity","mz","chrom_peak_id","peakCount","maxIntensity","baselineIntensity","signalToNoiseRatio","peakWidth","peakProminence","left_boundary","right_boundary","areaUnderTic","xicFwhm","gaussianSimilarity.gaussian_similarity","gaussianSimilarity.gaussian_residuals"
"cembio",545,"3_2",1,644.49357512647,"CP126995",18,12251.0263671875,311.072477722168,3.82880862879722,8.91429166240368,37.1499149285254,494.237686175156,503.15197783756,69473.6470947266,3.06118134344575,0.971692334313917,5.0549147979127
"cembio",467,"3_2",1,393.298244253798,"CP127088",21,723391.25,16266.0595703125,63.1953460355262,9.47499999996,42.6332158122087,622.632657688325,632.107657688285,2589437.98925781,2.06182205918935,0.894773661770901,6.64204030047104
"cembio",503,"3_2",1,468.39002492112,"CP127170",25,90567.796875,1060.60979003906,4.80097512002736,9.59836898989272,70.3933779193811,501.094723949876,510.693092939769,511963.075683594,2.80815254933998,0.961045951400998,6.01038237759761
"cembio",527,"3_2",1,540.447532625068,"CP127206",20,88806.21875,2073.28698120117,3.51955827720121,10.299649941151,41.178774721831,551.865823598069,562.16547353922,626707.077148438,3.77953277045583,0.970399102543287,6.17473571886867
"cembio",538,"3_2",1,600.467848638437,"CP127231",21,33388.44921875,584.213684082031,4.35897348848924,8.91493288033871,53.1770397909361,496.293770154195,505.208703034534,187720.860107422,2.86526235811823,0.944928213953485,5.51730489717146
"cembio",2097,"3_3",0,223.072506153093,"CP372778",20,3295.81665039062,494.529190063477,NA,6.45738372624402,4.41618208604876,290.775911479154,297.233295205398,24140.0516357422,3.94693339244503,0.613021025428002,4.01129197135255
"cembio",2093,"3_3",0,177.092106822841,"CP373766",20,221744.828125,343.671363830566,NA,3.48979016574441,318.769254975415,344.503849883701,347.993640049445,802491.360595703,1.63471916357236,0.982280037210469,6.33942727899638
"cembio",2095,"3_3",0,207.102535322195,"CP373815",28,75689.2265625,1517.29780883789,41.9602579725538,7.47503888451121,41.858559039489,341.515198422596,348.990237307107,325951.629882812,1.72121740242955,0.9131911747597,5.75615663603507
"cembio",2096,"3_3",0,929.504155778876,"CP374091",13,5535.58349609375,387.74814453125,NA,4.99240665072068,10.6862118059821,369.94755446003,374.93996111075,37746.4937744141,3.46492891437026,0.757249100776226,4.19001838343738
"cembio",2100,"3_3",0,307.158180752197,"CP374669",19,4730.2041015625,375.228637695312,9.75432389493307,4.50654879416822,10.6951200866173,423.453222818815,427.959771612983,21249.973815918,1.90522478910248,0.937330332031715,4.28303217861379
"cembio",2105,"3_3",0,475.238495068506,"CP375025",11,1549.89038085938,313.274757385254,NA,5.50906298862105,2.87922308309537,454.504942823823,460.014005812444,9584.90533447266,2.79448829667962,0.940757333627772,3.92223629098083
"cembio",702,"3_3",1,137.999776973114,"CP127517",10,16251.4111328125,340.453326416016,NA,4.67927199127599,45.5509239566542,26.2354584165602,30.9147304078361,64922.3787841797,2.8563686351639,0.949057399006446,5.00058430771141
"cembio",711,"3_3",1,144.988272441621,"CP127580",16,249006.9375,361.674255371094,59.5840265058467,8.03511810637226,562.231543056417,24.8824584165602,32.9175765229324,927850.363830566,2.40236744230543,0.941219030178363,6.26904232251113
"cembio",774,"3_3",1,105.981128693927,"CP127652",22,74494.2578125,230.717124176025,NA,7.36727010838894,285.256407318075,24.8824584165602,32.2497285249491,377062.445083618,3.27794016409732,0.982784075402954,5.84165495735127
"cembio",760,"3_3",1,240.987744233771,"CP127654",15,37825.00390625,556.050689697266,NA,5.34731815293819,63.6398659833717,26.2354584165602,31.5827765694983,186742.500732422,3.25364119562542,0.957715592714112,5.32987337929871
"cembio",763,"3_3",1,101.003231921613,"CP127761",37,95800.8046875,1116.87729187012,NA,12.7171792884426,48.4308731704629,24.2054584165802,36.9226377050228,609105.480453491,3.34875478104323,0.885401379271366,5.84654461349111
"cembio",728,"3_3",1,79.0214761175733,"CP127766",52,1817997.42944336,1600.12188110352,NA,4.67927199127599,933.156207336453,26.2354584165602,30.9147304078361,7046501.58300781,2.45576074249146,0.989553233615837,7.32741283884592
"cembio",727,"3_3",1,652.41142273331,"CP128210",14,11991.916015625,246.590293121338,NA,4.1292489009285,46.109012315966,228.699445690808,232.828694591736,38537.8333435059,2.09993992592382,0.99251337525816,5.12126257855002
"cembio",723,"3_3",1,608.385031586691,"CP128262",13,35703.01953125,563.376123046875,NA,4.13257067543427,52.7389479577688,223.878064738612,228.010635414047,104880.019042969,1.85587068490332,0.985662103860825,5.58742432709871
"cembio",780,"3_3",1,290.182692249217,"CP128573",8,3597.57421875,235.787879180908,NA,5.45712141765722,12.9486300711991,270.44180078428,275.898922201937,10322.9541015625,1.78821623757329,0.994806544037387,4.68173609163991
"cembio",752,"3_3",1,205.093579862594,"CP128595",13,13000.6669921875,372.347833251953,22.1086566558503,5.45808502824286,28.5619298650773,269.759367716447,275.21745274469,37830.8249206543,1.65489733050094,0.946346212719601,4.83946235273887
"cembio",758,"3_3",1,227.142715538587,"CP128596",13,17880.298828125,395.346435546875,NA,3.41193109215681,39.100290554165,270.44180078428,273.853731876437,51292.6940917969,1.9020090785769,0.978333293254539,5.07600103141745
"cembio",687,"3_3",1,133.064474160935,"CP128618",14,7893.28244018555,227.74673538208,NA,4.09436415998925,31.8087346628532,269.759367716447,273.853731876437,19535.373626709,1.44443809351515,0.92446432337429,4.55212227600778
"cembio",768,"3_3",1,254.160018702776,"CP128628",16,4229.37646484375,292.45565032959,9.62048644867232,4.77635012550394,12.4463532419845,269.759367716447,274.535717841951,15175.0563049316,2.08813704735087,0.992627086220868,4.71118265299629
"cembio",770,"3_3",1,271.169212882278,"CP128631",15,81939.2265625,362.504632568359,NA,4.09391705767149,192.630955653655,270.44180078428,274.535717841951,232688.361328125,1.81639402274851,0.992233752614014,5.94603961312155
"cembio",665,"3_3",1,405.148317362872,"CP128637",11,6408.33984375,233.059608459473,NA,4.77565196041041,24.790978078861,270.44180078428,275.21745274469,23251.781036377,2.29833265463782,0.993452368079944,4.84526364578234
"cembio",777,"3_3",1,287.164681350763,"CP128663",14,3903.31665039062,246.390721893311,NA,4.75251073346487,14.3052655085651,277.940589008977,282.693099742442,13585.392074585,2.08051371764259,0.952470110523121,4.17832393243155
