"lab","polarity","rt_local","rt_aligned"
"afekta","neg",192.682187187184,193.925453400749
"afekta","neg",193.223500500497,194.444105905217
"afekta","neg",193.764813813811,194.963081820471
"afekta","neg",194.306127127124,195.482392669982
"afekta","neg",194.847440440437,196.002049977223
"afekta","neg",195.388753753751,196.522065265663
"afekta","neg",195.930067067064,197.042450058774
"afekta","neg",196.471380380377,197.563215880028
"afekta","neg",197.012693693691,198.084374252895
"afekta","neg",197.554007007004,198.605936700848
"afekta","neg",198.095320320317,199.127914747356
"afekta","neg",198.63663363363,199.650319915893
"afekta","neg",199.177946946944,200.173163729928
"afekta","neg",199.719260260257,200.696457712934
"afekta","neg",200.26057357357,201.22021338838
"afekta","neg",200.801886886884,201.74444227974
"afekta","neg",201.343200200197,202.269155910483
"afekta","neg",201.88451351351,202.794365600683
"afekta","neg",202.425826826824,203.320075487081
"afekta","neg",202.967140140137,203.846280773411
"afekta","neg",203.50845345345,204.37297610485
"afekta","neg",204.049766766763,204.900156126574
"afekta","neg",204.591080080077,205.427815483761
"afekta","neg",205.13239339339,205.955948821587
"afekta","neg",205.673706706703,206.48455078523
"afekta","neg",206.215020020017,207.013616019866
"afekta","neg",206.75633333333,207.543139170673
"afekta","neg",207.297646646643,208.073114882827
"afekta","neg",207.838959959957,208.603537801505
"afekta","neg",208.38027327327,209.134402571885
"afekta","neg",208.921586586583,209.665703839143
"afekta","neg",209.462899899896,210.197436248456
"afekta","neg",210.00421321321,210.729594445002
"afekta","neg",210.545526526523,211.262173073957
"afekta","neg",211.086839839836,211.795166780498
"afekta","neg",211.62815315315,212.328570209802
"afekta","neg",212.169466466463,212.862378007047
"afekta","neg",212.710779779776,213.396584817408
"afekta","neg",213.25209309309,213.931185286064
"afekta","neg",213.793406406403,214.46617405819
"afekta","neg",214.334719719716,215.001545778965
"afekta","neg",214.87603303303,215.537295093564
"afekta","neg",215.417346346343,216.073416647166
"afekta","neg",215.958659659656,216.609905084946
"afekta","neg",216.499972972969,217.146755052083
"afekta","neg",217.041286286283,217.683961193752
"afekta","neg",217.582599599596,218.221518155131
"afekta","neg",218.123912912909,218.759420581397
"afekta","neg",218.665226226223,219.297663117726
"afekta","neg",219.206539539536,219.836240409297
"afekta","neg",219.747852852849,220.375147101285
"afekta","neg",220.289166166163,220.914377838868
"afekta","neg",220.830479479476,221.453927267222
"afekta","neg",221.371792792789,221.993790031525
"afekta","neg",221.913106106102,222.533960776954
"afekta","neg",222.454419419416,223.074434148685
"afekta","neg",222.995732732729,223.615204791895
"afekta","neg",223.537046046042,224.156267351763
"afekta","neg",224.078359359356,224.697616473463
"afekta","neg",224.619672672669,225.239246802174
"afekta","neg",225.160985985982,225.781152983073
"afekta","neg",225.702299299296,226.323329661336
"afekta","neg",226.243612612609,226.86577148214
"afekta","neg",226.784925925922,227.408473090662
"afekta","neg",227.326239239235,227.95142913208
"afekta","neg",227.867552552549,228.49463425157
"afekta","neg",228.408865865862,229.038083094309
"afekta","neg",228.950179179175,229.581770305475
"afekta","neg",229.491492492489,230.125690530243
"afekta","neg",230.032805805802,230.669838413792
"afekta","neg",230.574119119115,231.214208601298
"afekta","neg",231.115432432429,231.758795737938
"afekta","neg",231.656745745742,232.303594468889
"afekta","neg",232.198059059055,232.848599439328
"afekta","neg",232.739372372369,233.393805294432
"afekta","neg",233.280685685682,233.939206679378
"afekta","neg",233.821998998995,234.484798239343
"afekta","neg",234.363312312308,235.030574619504
"afekta","neg",234.904625625622,235.576530465037
"afekta","neg",235.445938938935,236.122660421121
"afekta","neg",235.987252252248,236.668959132931
"afekta","neg",236.528565565562,237.215421245645
"afekta","neg",237.069878878875,237.762041404439
"afekta","neg",237.611192192188,238.308814254492
"afekta","neg",238.152505505502,238.855734440979
"afekta","neg",238.693818818815,239.402796609078
"afekta","neg",239.235132132128,239.949995403965
"afekta","neg",239.776445445441,240.497325470818
"afekta","neg",240.317758758755,241.044781454814
"afekta","neg",240.859072072068,241.592358001129
"afekta","neg",241.400385385381,242.14004975494
"afekta","neg",241.941698698695,242.687851361425
"afekta","neg",242.483012012008,243.235757465761
"afekta","neg",243.024325325321,243.783762713124
"afekta","neg",243.565638638635,244.331861748691
"afekta","neg",244.106951951948,244.880049217639
"afekta","neg",244.648265265261,245.428319765146
"afekta","neg",245.189578578574,245.976668036389
"afekta","neg",245.730891891888,246.525088676543
"afekta","neg",246.272205205201,247.073576448422
"afekta","neg",246.813518518514,247.622127034102
"afekta","neg",247.354831831828,248.170736548031
"afekta","neg",247.896145145141,248.71940110717
"afekta","neg",248.437458458454,249.268116828483
"afekta","neg",248.978771771768,249.816879828932
"afekta","neg",249.520085085081,250.36568622548
"afekta","neg",250.061398398394,250.91453213509
"afekta","neg",250.602711711708,251.463413674725
"afekta","neg",251.144025025021,252.012326961347
"afekta","neg",251.685338338334,252.561268111919
"afekta","neg",252.226651651647,253.110233243405
"afekta","neg",252.767964964961,253.659218472765
"afekta","neg",253.309278278274,254.208219916965
"afekta","neg",253.850591591587,254.757233692965
"afekta","neg",254.391904904901,255.306255917729
"afekta","neg",254.933218218214,255.85528270822
"afekta","neg",255.474531531527,256.404310181401
"afekta","neg",256.015844844841,256.953334454233
"afekta","neg",256.557158158154,257.502351643681
"afekta","neg",257.098471471467,258.051357866706
"afekta","neg",257.63978478478,258.600349240271
"afekta","neg",258.181098098094,259.14932188134
"afekta","neg",258.722411411407,259.698271906875
"afekta","neg",259.26372472472,260.247195433839
"afekta","neg",259.805038038034,260.796088579194
"afekta","neg",260.346351351347,261.344947459903
"afekta","neg",260.88766466466,261.893768192929
"afekta","neg",261.428977977974,262.442546895235
"afekta","neg",261.970291291287,262.991279683783
"afekta","neg",262.5116046046,263.539962675537
"afekta","neg",263.052917917914,264.088591987459
"afekta","neg",263.594231231227,264.637163736511
"afekta","neg",264.13554454454,265.185674039657
"afekta","neg",264.676857857853,265.734119013859
"afekta","neg",265.218171171167,266.282494776081
"afekta","neg",265.75948448448,266.830797443284
"afekta","neg",266.300797797793,267.379023132431
"afekta","neg",266.842111111107,267.927167960486
"afekta","neg",267.38342442442,268.475228044411
"afekta","neg",267.924737737733,269.023199501169
"afekta","neg",268.466051051047,269.571078447722
"afekta","neg",269.00736436436,270.118861001034
"afekta","neg",269.548677677673,270.666543278066
"afekta","neg",270.089990990986,271.214121395783
"afekta","neg",270.6313043043,271.761591471146
"afekta","neg",271.172617617613,272.308949621118
"afekta","neg",271.713930930926,272.856191962663
"afekta","neg",272.25524424424,273.403314612742
"afekta","neg",272.796557557553,273.950313688319
"afekta","neg",273.337870870866,274.497185306357
"afekta","neg",273.87918418418,275.043925583817
"afekta","neg",274.420497497493,275.590530637663
"afekta","neg",274.961810810806,276.136996584858
"afekta","neg",275.503124124119,276.683319542365
"afekta","neg",276.044437437433,277.229495627145
"afekta","neg",276.585750750746,277.775520956162
"afekta","neg",277.127064064059,278.32139164638
"afekta","neg",277.668377377373,278.867103814759
"afekta","neg",278.209690690686,279.412653578264
"afekta","neg",278.751004003999,279.958037053856
"afekta","neg",279.292317317313,280.503250358499
"afekta","neg",279.833630630626,281.048289609156
"afekta","neg",280.374943943939,281.593151342991
"afekta","neg",280.916257257253,282.137835548835
"afekta","neg",281.457570570566,282.682343909199
"afekta","neg",281.998883883879,283.226678118278
"afekta","neg",282.540197197192,283.770839870272
"afekta","neg",283.081510510506,284.314830859377
"afekta","neg",283.622823823819,284.858652779791
"afekta","neg",284.164137137132,285.40230732571
"afekta","neg",284.705450450446,285.945796191333
"afekta","neg",285.246763763759,286.489121070856
"afekta","neg",285.788077077072,287.032283658477
"afekta","neg",286.329390390386,287.575285648394
"afekta","neg",286.870703703699,288.118128734803
"afekta","neg",287.412017017012,288.660814611901
"afekta","neg",287.953330330326,289.203344973887
"afekta","neg",288.494643643639,289.745721514957
"afekta","neg",289.035956956952,290.287945929309
"afekta","neg",289.577270270265,290.83001991114
"afekta","neg",290.118583583579,291.371945154648
"afekta","neg",290.659896896892,291.913723354029
"afekta","neg",291.201210210205,292.455356203481
"afekta","neg",291.742523523519,292.996845397202
"afekta","neg",292.283836836832,293.538192629388
"afekta","neg",292.825150150145,294.079399594238
"afekta","neg",293.366463463459,294.620467985947
"afekta","neg",293.907776776772,295.161399498715
"afekta","neg",294.449090090085,295.702195826737
"afekta","neg",294.990403403398,296.242858664212
"afekta","neg",295.531716716712,296.783389705336
"afekta","neg",296.073030030025,297.323790644307
"afekta","neg",296.614343343338,297.864063175323
"afekta","neg",297.155656656652,298.40420899258
"afekta","neg",297.696969969965,298.944229790275
"afekta","neg",298.238283283278,299.484127262608
"afekta","neg",298.779596596592,300.023903103773
"afekta","neg",299.320909909905,300.56355900797
"afekta","neg",299.862223223218,301.103096669395
"afekta","neg",300.403536536531,301.642517782245
"afekta","neg",300.944849849845,302.181824040718
"afekta","neg",301.486163163158,302.721017139011
"afekta","neg",302.027476476471,303.260098771321
"afekta","neg",302.568789789785,303.799070631847
"afekta","neg",303.110103103098,304.337934414784
"afekta","neg",303.651416416411,304.876691814331
"afekta","neg",304.192729729725,305.415344524685
"afekta","neg",304.734043043038,305.953894240043
"afekta","neg",305.275356356351,306.492342654602
"afekta","neg",305.816669669665,307.030691462559
"afekta","neg",306.357982982978,307.568942358113
"afekta","neg",306.899296296291,308.10709703546
"afekta","neg",307.440609609604,308.645157188798
"afekta","neg",307.981922922918,309.183124512324
"afekta","neg",308.523236236231,309.721000700235
"afekta","neg",309.064549549544,310.258787446728
"afekta","neg",309.605862862858,310.796486446002
"afekta","neg",310.147176176171,311.334099412698
"afekta","neg",310.688489489484,311.87162855266
"afekta","neg",311.229802802798,312.409076574863
"afekta","neg",311.771116116111,312.946446211117
"afekta","neg",312.312429429424,313.483740193229
"afekta","neg",312.853742742737,314.020961253008
"afekta","neg",313.395056056051,314.558112122261
"afekta","neg",313.936369369364,315.095195532799
"afekta","neg",314.477682682677,315.632214216428
"afekta","neg",315.018995995991,316.169170904957
"afekta","neg",315.560309309304,316.706068330194
"afekta","neg",316.101622622617,317.242909223949
"afekta","neg",316.642935935931,317.779696318029
"afekta","neg",317.184249249244,318.316432344242
"afekta","neg",317.725562562557,318.853120034397
"afekta","neg",318.26687587587,319.389762120303
"afekta","neg",318.808189189184,319.926361333767
"afekta","neg",319.349502502497,320.462920406598
"afekta","neg",319.89081581581,320.999442070605
"afekta","neg",320.432129129124,321.535929057595
"afekta","neg",320.973442442437,322.072384099377
