"mixture","lab","polarity","xcms_fts","compound","inchikey_2d","rt_sec","ionMass","adduct","cosmic"
"1.1","cembio","neg","72","guanosine 5'-monophosphate","RQFCJASXJCIDSX",77.253,362.051086425781,"[M - H]-",0.383510545936464
"1.1","cembio","neg","73","L-homoserine","UKAUYVFTDYCKQA",78.249,118.05110168457,"[M - H]-",0.299326745159992
"1.1","cembio","neg","74","L-valine","KZSNJWFQEVHDMF",79.24600000002,116.071701049805,"[M - H]-",0.109246762216471
"1.1","cembio","neg","75","alpha-D-glucosamine 6-phosphate","XHMJOUIAFHJHBW",80.24200000002,258.038787841797,"[M - H]-",0.174016555346112
"1.1","cembio","neg","77","L-lysine","KDXKERNSBIXSRK",82.23400000002,145.098297119141,"[M - H]-",0.517713457416342
"1.1","cembio","neg","80","carnosine","CQOVPNPJLQNMDC",85.22299999998,225.099502563477,"[M - H]-",0.115581063334013
"1.1","cembio","neg","81","L-citrulline","RHGKLRLOHDJJDR",86.22,174.088500976563,"[M - H]-",0.295545773621996
"1.1","cembio","neg","90","N-acetyl-L-cysteine","PWKSKIMOESPYIA",96.612,162.023101806641,"[M - H]-",0.145600252317386
"1.1","cembio","neg","95","N-acetyl-L-cysteine","PWKSKIMOESPYIA",103.02400000002,162.023101806641,"[M - H]-",0.105605010924776
"1.1","hmgu","pos","53","L-homoserine","UKAUYVFTDYCKQA",24.87250000002,120.06513752471,"[M + H]+",0.160072246953123
"1.1","hmgu","neg","1191","L-lysine","KDXKERNSBIXSRK",21.993,145.098101500875,"[M - H]-",0.712966009440986
"1.1","hmgu","neg","1192","L-lysine","KDXKERNSBIXSRK",22.6605,145.098299769993,"[M - H]-",0.864034882997444
"1.1","hmgu","neg","1193","L-lysine","KDXKERNSBIXSRK",23.33499999999,145.098099602435,"[M - H]-",0.874060336430699
"1.1","hmgu","neg","1194","L-lysine","KDXKERNSBIXSRK",24.054,145.098006146806,"[M - H]-",0.306945168260434
"1.1","hmgu","neg","1195","L-homoserine","UKAUYVFTDYCKQA",24.82599999999,118.05013224835,"[M - H]-",0.551402057282633
"1.1","hmgu","neg","1196","L-homoserine","UKAUYVFTDYCKQA",25.51599999999,118.05006932393,"[M - H]-",0.603877884778154
"1.1","hmgu","neg","1200","L-lysine","KDXKERNSBIXSRK",28.31149999998,145.097429139435,"[M - H]-",0.167113177045921
"1.1","hmgu","neg","1203","L-lysine","KDXKERNSBIXSRK",30.55599999999,145.097342995897,"[M - H]-",0.559913813486136
"1.1","hmgu","neg","1204","L-lysine","KDXKERNSBIXSRK",31.25000000001,145.097251314569,"[M - H]-",0.232431706316181
"1.1","hmgu","neg","1211","N-alpha-acetyl-L-asparagine","HXFOXFJUNFFYMO",36.34399999998,173.056368694914,"[M - H]-",0.735514514379216
"1.1","hmgu","neg","1228","5-hydroxy-L-tryptophan","LDCYZAJDBXYCGN",48.16300000002,219.077233860118,"[M - H]-",0.54433534088256
"1.1","hmgu","neg","1304","N-acetyl-L-cysteine","PWKSKIMOESPYIA",87.36700000002,162.021744336845,"[M - H]-",0.632634318636101
"1.1","hmgu","neg","1309","N-acetyl-L-cysteine","PWKSKIMOESPYIA",90.30399999999,162.022252100631,"[M - H]-",0.712380147398945
"1.1","hmgu","neg","1310","N-acetyl-L-cysteine","PWKSKIMOESPYIA",90.9735,162.022224485336,"[M - H]-",0.800896631194677
"1.1","hmgu","neg","1314","N-acetyl-L-cysteine","PWKSKIMOESPYIA",93.63850000002,162.022486290275,"[M - H]-",0.763072930953798
"1.2","afekta","pos","15","N-acetyl-L-glutamine","KSMRODHGGIIXDV",30.09800000001,189.086143493652,"[M + H]+",0.96634760972646
"1.2","afekta","pos","19","N-acetyl-L-glutamine","KSMRODHGGIIXDV",34.84400000001,211.06755065918,"[M + Na]+",0.294432434502545
"1.2","afekta","pos","29","kynurenine","YGPSJZOEDVAXAB",55.59699999999,209.091300964355,"[M + H]+",0.995202924391685
"1.2","afekta","neg","376","L-homocitrulline","XIGSAGMEBXLVJJ",27.74150000001,188.102493286133,"[M - H]-",0.301454588401238
"1.2","afekta","neg","379","N-acetyl-L-glutamine","KSMRODHGGIIXDV",31.39250000001,187.071105957031,"[M - H]-",0.85816905369816
"1.2","afekta","neg","380","IMP","GRSZFWQUAKGDAV",32.69999902344,347.037275834517,"[M - H]-",0.253187672335472
"1.2","afekta","neg","381","NAD zwitterion","BAWFJGJZGIEFAR",34.34799999999,662.09619140625,"[M - H]-",0.336505477797496
"1.2","cembio","pos","71","N(4)-acetylcytidine","NIDVTARKFBZMOT",4.59400000002,324.059600830078,"[M + Na]+",0.380192175008074
"1.2","cembio","pos","72","L-homocitrulline","XIGSAGMEBXLVJJ",5.59000000002,190.118698120117,"[M + Na]+",0.0820373474343642
