"chrom_peak_id","lab","consensus_id","sample","mzMin","mzMax","rtMin","rtMax","mz","polarity","mixture","into","intb","maxo"
"CP165871","afekta",2579,9,700.535512989553,700.583630031212,588.438570823594,598.422570823627,700.557553331701,1,"2_2",8541.48325231935,6638.81848787466,3458.05871582031
"CP166004","afekta",2576,9,656.508459733764,656.558310326023,588.438570823594,602.013570823627,656.531296876616,1,"2_2",16255.3196248192,11232.4284379935,4655.83215332031
"CP166018","afekta",2577,9,658.199568323641,658.251365551409,595.619570823627,606.800570823614,658.225805107337,1,"2_2",11974.8340288056,10728.1603891957,4336.66345214844
"CP166070","afekta",2573,9,630.171967922557,630.218599254579,588.438570823594,609.79268193474,630.194217235598,1,"2_2",165525.645494936,151285.258764353,20979.7041015625
"CP166123","afekta",2567,9,568.455035721831,568.499258514733,592.627570823614,603.20968193472,568.476891988323,1,"2_2",17406.7663973301,13160.364829363,5062.36474609375
"CP166546","afekta",2574,9,640.511361386902,640.562189638989,623.746348601373,636.723348601387,640.533512205775,1,"2_2",9282.80164558949,8394.23757817919,3897.63244628906
"CP166639","hmgu",1985,35,355.136990833443,355.178609383149,586.021320701567,595.083320701575,355.157986444321,0,"2_9",1453.49251457629,1424.12060677184,536.296713798427
"CP166841","afekta",2594,9,284.27473905026,284.315577390061,577.06768193474,591.839570823613,284.295206036165,1,"2_2",186758.542462326,178985.006037027,64801.96875
"CP166850","afekta",2572,9,628.47387350011,628.519484176478,539.362186088593,552.938476161787,628.497949931024,1,"2_2",54838.9161940962,46687.9452864276,12576.2958984375
"CP167053","icl",2590,9,230.867740151031,230.920810521702,16.2264763945634,25.0235861573501,230.892216553813,1,"2_2",7374.34171482852,6168.15436766451,4199.86557006836
"CP167189","icl",2588,9,214.893174151986,214.964017388847,15.9974765414834,25.4804752304301,214.918007880261,1,"2_2",7722.84598363929,6578.42039054548,6204.8671875
"CP167380","afekta",2570,9,600.441300266123,600.489480069386,499.251667449969,514.628148578061,600.467749628076,1,"2_2",70113.2164063515,52299.5465077375,19380.107421875
"CP167754","afekta",2593,9,282.258997894281,282.299946545995,538.165844878886,563.711604935585,282.279583871697,1,"2_2",3183861.11069089,3134272.15834277,831375.0625
