"mixture","lab","polarity","compound","adduct","source","areaUnderTic","xicFwhm","maxIntensity","apex_rt","snr","baseline","noise","n_scans_in_shape","prior_kind","detection"
"2.1","hmgu","pos","5-methyl-2'-deoxycytidine","[M + H]+","consensus",42677.8875190942,8.62699999998,6605.83221028335,37.197,317.31496964558,17.5480796264383,20.7626010774581,3,"consensus","detected"
"2.1","hmgu","pos","9H-xanthine","[M + H]+","consensus",6873.81307424845,14.68300000002,45.3537070312195,46.911,9.21684744630107,3.63556964748568,4.52629140568842,3,"consensus","detected"
"2.1","hmgu","pos","L-leucine","[M + H]+","consensus",NA,NA,NA,59.26399999998,-0.313256111045033,3.92660517073455,1.75218076174235,4,"consensus","below_detection"
"2.1","hmgu","pos","L-phenylalanine","[M + H]+","consensus",235656.426453194,34.005,7704.24868987142,82.24000000002,817.8073085394,12.4036958753077,9.4054490754475,5,"consensus","detected"
"2.1","hmgu","pos","L-phenylalanine","[M + Na]+","consensus",235656.426453194,34.005,7704.24868987142,82.24000000002,913.256653991543,12.0249586628488,8.42284991583516,5,"consensus","detected"
"2.1","hmgu","pos","dopamine","[M + H]+","consensus",74093.6247096159,5.78899999998,5432.83204787767,32.89999999998,5430.00486801173,2.82717986593889,1,5,"consensus","detected"
"2.1","hmgu","pos","ethylmalonic acid","[M + H]+","consensus",NA,NA,NA,105.693,-0.639224140055418,14.9151791833388,19.2234329696201,3,"consensus","below_detection"
"2.1","hmgu","pos","ethylmalonic acid","[M + Na]+","consensus",NA,NA,NA,103.03699999998,2.4029061912719,8.14157464870004,2.16997691157993,5,"consensus","below_detection"
"2.1","hmgu","pos","methylmalonic acid","[M + Na]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.1","hmgu","pos","pyridoxamine","[M + H]+","consensus",52672.065138639,8.55499999998,8831.67218569588,23.616,529.94013460729,49.8713677190299,16.5713072939542,3,"consensus","detected"
"2.1","hmgu","pos","pyridoxamine","[M + Na]+","consensus",848.020356503086,7.869,196.820374137969,23.616,83.8147349519185,7.5152997591058,2.25861329141542,3,"consensus","detected"
"2.1","hmgu","pos","tricaproin","[M + H]+","consensus",955171.393507835,1.41100000002007,443898.860990897,581.17699999998,6102.52249651098,127.599383167571,72.71931596507,4,"consensus","detected"
"2.10","hmgu","pos","(5-hydroxyindol-3-yl)acetic acid","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.10","hmgu","pos","(5-hydroxyindol-3-yl)acetic acid","[M + K]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.10","hmgu","pos","(S)-2-hydroxy-4-methylpentanoic acid","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.10","hmgu","pos","2-hydroxy-2-methylbutyric acid","[M + Na]+","consensus",303.548292430396,59.82399999996,8.72577946682031,206.33200000002,6.10804186300697,2.61773760381334,1,4,"consensus","detected"
"2.10","hmgu","pos","3-methoxytyramine","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.10","hmgu","pos","4-hydroxy-L-proline","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.10","hmgu","pos","4-hydroxy-L-proline","[M + Na]+","consensus",1012.08932490174,31.96300000002,34.4683390618811,38.74600000002,31.7326831733099,2.73565588857127,1,2,"consensus","detected"
"2.10","hmgu","pos","7,9-dihydro-1H-purine-2,6,8(3H)-trione","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.10","hmgu","pos","L-pipecolic acid","[M + H]+","consensus",178.137604464098,1.359,51.1999119312195,23.98999999998,48.4346237094605,2.76528822175896,1,4,"consensus","detected"
"2.10","hmgu","pos","N-isovalerylglycine","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.10","hmgu","pos","N-isovalerylglycine","[M + Na]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.10","hmgu","pos","alpha-D-mannose","[M + Na]+","consensus",516.767711111473,44.4,23.2415685668484,75.357,20.0484469977921,3.1931215690563,1,3,"consensus","detected"
"2.10","hmgu","pos","glycinamide","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.10","hmgu","pos","glycinamide","[M + Na]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.10","hmgu","pos","quinolinic acid","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.10","hmgu","pos","trans-urocanic acid","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
"2.10","hmgu","pos","uracil","[M + H]+","consensus",NA,NA,NA,NA,NA,NA,NA,0,"consensus","no_data"
